Time,X,Y,Theta,Velocity,Control_V,Control_Omega
0,5,5,0,0,2.3,0.92
0.1,5,5,0,0.2,2.3,0.92
0.2,5.02,5,0.008,0.4,2.3,0.92
0.3,5.05999872000683,5.00031999658668,0.024,0.6,2.3,0.92
0.4,5.11998144083625,5.00175985835066,0.048,0.8,2.3,0.92
0.5,5.19988929852961,5.00559838396052,0.08,1,2.3,0.92
0.6,5.29956946915987,5.01358985335744,0.12,1.2,2.3,0.92
0.7,5.41870650546234,5.02795531823211,0.168,1.4,2.3,0.92
0.8,5.55673546789219,5.05136483617968,0.224,1.6,2.3,0.92
0.9,5.71273814405169,5.08690586924112,0.288,1.8,2.3,0.92
1,5.88532463940871,5.13803219925202,0.36,2,2.3,0.92
1.1,6.07250400414429,5.20848704590704,0.44,2.2,2.3,0.92
1.2,6.27154937005269,5.30219372822155,0.528,2.3,2.3,0.92
1.3,6.47022714456188,5.41806927316557,0.62,2.3,2.3,0.92
1.4,6.65741918959427,5.55170736008915,0.712,2.3,2.3,0.53097557883545
1.5,6.83154222889096,5.70197767381106,0.765097557883545,2.3,2.3,0.92
1.6,6.99744463094976,5.8612773693259,0.857097557883545,2.3,2.3,0.110417750408399
1.7,7.14801052250913,6.03514488296468,0.868139332924384,2.3,2.3,-0.0244449083713382
1.8,7.29664746864305,6.21066427859942,0.865694842087251,2.3,2.3,0.017202649212382
1.9,7.44571302581158,6.3858198085322,0.867415107008489,2.3,2.3,0.336613246747606
2,7.59447704864917,6.56123151141766,0.901076431683249,2.3,2.3,0.341544818764418
2.1,7.73725332304079,6.74155049397593,0.935230913559691,2.3,2.3,0.599842366044656
2.2,7.87378882511339,6.92663981477479,0.995215150164157,2.3,2.3,0.256235867978649
2.3,7.99898298119969,7.11958131700238,1.02083873696202,2.3,2.3,0.167837702703854
2.4,8.11919272793291,7.31566705536786,1.03762250723241,2.3,2.3,0.0472512965226406
2.5,8.23609464034882,7.51374265425248,1.04234763688467,2.3,2.3,0.102065333970731
2.6,8.35205931833847,7.7123684165764,1.05255417028174,2.3,2.3,-0.162677843175458
2.7,8.46599071088879,7.9121674100462,1.0362863859642,2.3,2.3,-0.0822124990142833
2.8,8.58315717189853,8.11008663704159,1.02806513606277,2.3,2.3,-0.45367296986496
2.9,8.70194679844755,8.30703593159312,0.982697839076274,2.3,2.3,-0.123254398527539
3,8.82954619249698,8.49839526540838,0.97037239922352,2.3,2.3,-0.0273424220118383
3.1,8.9594944226861,8.68816738525403,0.967638157022337,2.3,2.3,-0.875840255330192
3.2,9.08996104941598,8.87758348623209,0.880054131489318,2.3,2.3,-0.92
3.3,9.23649621648097,9.05486136080541,0.788054131489318,2.3,2.3,-0.175369348643644
3.4,9.3986982508353,9.2179272985463,0.770517196624953,2.3,2.3,-0.126500886377669
3.5,9.56373487384235,9.37812378123687,0.757867107987186,2.3,2.3,0.388660486518511
3.6,9.73078473771152,9.5362197741693,0.796733156639037,2.3,2.3,0.18915657379011
3.7,9.891565427524,9.70068730830118,0.815648814018048,2.3,2.3,0.0878347739802486
3.8,10.0492065283525,9.86816651097893,0.824432291416073,2.3,2.3,-0.166169277403018
3.9,10.2053705173797,10.0370238724741,0.807815363675771,2.3,2.3,-0.115465707246026
4,10.3643187081721,10.2032630755636,0.796268792951169,2.3,2.3,-0.139079875559235
4.1,10.5251757533976,10.3676559312518,0.782360805395245,2.3,2.3,0.383498307272522
4.2,10.6883035414967,10.5297957621074,0.820710636122498,2.3,2.3,0.213528056443793
4.3,10.845094876476,10.6980707670113,0.842063441766877,2.3,2.3,0.225589599303496
4.4,10.9982575984754,10.8696550920231,0.864622401697226,2.3,2.3,0.372213588501692
4.5,11.1475109137505,11.0446506573366,0.901843760547396,2.3,2.3,0.137314577006317
4.6,11.2901487821628,11.2250791431552,0.915575218248027,2.3,2.3,0.0204637267240271
4.7,11.4302957351286,11.4074491833877,0.91762159092043,2.3,2.3,-0.203757360649503
4.8,11.5700691978459,11.5901056344646,0.89724585485548,2.3,2.3,0.0527663021810995
4.9,11.7135351487648,11.7698763799348,0.90252248507359,2.3,2.3,0.336417963181169
5,11.8560505230937,11.950401636007,0.936164281391706,2.3,2.3,0.219132860462713
5.1,11.9924132093001,12.1356183140103,0.958077567437978,2.3,2.3,-0.202621947880458
5.2,12.1246847754469,12.3237784394063,0.937815372649932,2.3,2.3,-0.347546380309824
5.3,12.2607414662851,12.5092200120867,0.90306073461895,2.3,2.29999999999969,-0.295132836547891
5.4,12.4031596523373,12.6898219508404,0.873547450964157,2.29999999999969,2.29999999999947,-0.248933444219228
5.5,12.5508451998464,12.8661426219398,0.848654106542231,2.29999999999947,2.3,-0.781798579792835
5.6,12.7028737488236,13.0387326572716,0.770474248562965,2.3,2.29999999999995,-0.588176245480928
5.7,12.8679172518069,13.1989220518113,0.711656624014872,2.29999999999995,2.3,-0.354352874170989
5.8,13.0420918800545,13.3491325670053,0.676221336597773,2.3,2.29999999999801,-0.106094330187838
5.9,13.2214788066437,13.4930781489759,0.66561190357898,2.29999999999801,2.29999999999753,0.214317084442552
6,13.4023827897855,13.6351124718818,0.68704361202324,2.29999999999753,2.29999999999999,0.436160202072403
6.1,13.5802014231056,13.7809909611942,0.730659632230434,2.29999999999999,2.29999999999445,0.067904511620242
6.2,13.751490323963,13.9344839983101,0.737450083392474,2.29999999999445,2.29999999999113,0.297424499099705
6.3,13.9217329967879,14.089136616617,0.767192533302488,2.29999999999113,2.29999999999133,0.0996826831730514
6.4,14.0873013060776,14.2487835237544,0.777160801619792,2.29999999999133,2.29999999998833,-0.196698573634625
6.5,14.251270012623,14.4100729011896,0.757490944256304,2.29999999998833,2.29999999998217,-0.101347719371232
6.6,14.4183793346498,14.5681060448374,0.747356172319153,2.29999999998217,2.29999999997179,0.0108122241528085
6.7,14.5870816770006,14.724437486603,0.748437394734439,2.29999999997179,2.29999999994816,0.198774925618949
6.8,14.7556148917146,14.8809512417074,0.768314887296538,2.29999999994816,2.29999999991994,0.214361495550673
6.9,14.9210039164135,15.0407838745042,0.789751036851869,2.29999999991994,2.29999999989027,-0.153662310169457
7,15.0829290099015,15.2041248188361,0.774384805834725,2.29999999989027,2.29999999974811,-0.186113833005272
7.1,15.2473448227131,15.3649583989506,0.755773422533047,2.29999999974811,2.29999999918345,-0.187102483840003
7.2,15.4147253234699,15.522704295743,0.737063174144454,2.29999999918345,2.29999999999788,-0.20026052253831
7.3,15.5850278200189,15.6772910339569,0.717037121897714,2.29999999999788,2.29999999998058,-0.91989792241356
7.4,15.7583917236563,15.8284365165738,0.625047329655666,2.29999999998058,2.29999999999943,-0.759853398824722
7.5,15.9449068716679,15.9630177171974,0.549061989773816,2.29999999999943,2.29999999992108,-0.341327705541459
7.6,16.1411001912351,16.0830518013452,0.514929219218508,2.29999999992108,2.29038122462854,0.130126252669903
