Metric,Value
path_length,59.4974746830583
planning_time,0
planning_success,1
trajectory_length,56.5115419872759
mean_tracking_error,0.495630653233527
max_tracking_error,1.25632007012171
rms_tracking_error,0.556293861646809
final_tracking_error,0.544035143608071
mean_curvature,0.340616080321975
max_curvature,1.00000000000002
mean_jerk,0.923801813210802
max_jerk,20.0000000000002
mean_velocity_change,0.244805345688628
max_velocity_change,2.99993819704809
mean_omega_change,2.19666912696708
max_omega_change,15.8792256062144
total_velocity_effort,58.0507272883023
total_omega_effort,10.3688837061983
cbf_activation_count,107
cbf_activation_rate,37.5438596491228
cbf_duration,10.7
min_obstacle_distance,0.459853110221809
mean_obstacle_distance,6.37868306012267
safety_violations,0
safety_maintained,1
simulation_duration,28.4
num_steps,285
mean_step_time,0.1
execution_success,1
overall_success,1
path_efficiency,0.954133348604477
avg_velocity,1.98984302772098
