Time,X,Y,Theta,Velocity,Control_V,Control_Omega
0,5,5,0,0,2.3,0.92
0.1,5,5,0,0.2,2.3,0.92
0.2,5.02,5,0.008,0.4,2.3,0.92
0.3,5.05999872000683,5.00031999658668,0.024,0.6,2.3,0.92
0.4,5.11998144083625,5.00175985835066,0.048,0.8,2.3,0.92
0.5,5.19988929852961,5.00559838396052,0.08,1,2.3,0.92
0.6,5.29956946915987,5.01358985335744,0.12,1.2,2.3,0.92
0.7,5.41870650546234,5.02795531823211,0.168,1.4,2.3,0.92
0.8,5.55673546789219,5.05136483617968,0.224,1.6,2.3,0.92
0.9,5.71273814405169,5.08690586924112,0.288,1.8,2.3,0.92
1,5.88532463940871,5.13803219925202,0.36,2,2.3,0.92
1.1,6.07250400414429,5.20848704590704,0.44,2.2,2.3,0.92
1.2,6.27154937005269,5.30219372822155,0.528,2.3,2.3,0.92
1.3,6.47022714456188,5.41806927316557,0.62,2.3,2.3,0.92
1.4,6.65741918959427,5.55170736008915,0.712,2.3,2.3,0.92
1.5,6.83154222889096,5.70197767381106,0.804,2.3,2.3,0.92
1.6,6.99112352425846,5.86760922324785,0.896,2.3,2.3,0.92
1.7,7.13481333203499,6.04720109149678,0.988,2.3,2.3,0.92
1.8,7.26139631926528,6.23923428483548,1.08,2.3,2.3,0.340322742430679
1.9,7.36980184302524,6.44208458041901,1.11403227424307,2.3,2.3,0.301178015458499
2,7.47124247106439,6.64850599157353,1.14415007578892,2.3,2.3,0.293241705295034
2.1,7.56642107584211,6.85788849607801,1.17347424631842,2.3,2.3,0.235383784516405
2.2,7.65541967284015,7.06997161594468,1.19701262477006,2.3,2.3,0.0184681612800548
2.3,7.73940198413725,7.2840906748563,1.19885944089807,2.3,2.3,0.02791480283646
2.4,7.82298871390739,7.49836446841569,1.20165092118171,2.3,2.3,-0.0410145702503492
2.5,7.9059769777155,7.71287075753122,1.19754946415668,2.3,2.3,-0.0488715947676272
2.6,7.98984432937218,7.92703487059897,1.19266230467991,2.3,2.3,-0.0904364711879233
2.7,8.07475732948151,8.14078655459803,1.18361865756112,2.3,2.3,-0.190262026057559
2.8,8.16159992565199,8.35376158480197,1.16459245495537,2.3,2.3,-0.176046151328869
2.9,8.25247866554808,8.56504588292869,1.14698783982248,2.3,2.3,-0.20639393201673
3,8.34706270975088,8.77469763842394,1.12634844662081,2.3,2.3,-0.155925575491256
3.1,8.44595338680972,8.98235272261608,1.11075588907168,2.3,2.3,-0.143995960190627
3.2,8.54806978522256,9.1884406678608,1.09635629305262,2.3,2.3,-0.116862869553755
3.3,8.65314307758725,9.39303686340618,1.08467000609724,2.3,2.3,-0.0717491006455313
3.4,8.76060011056977,9.59639119963385,1.07749509603269,2.3,2.3,-0.0672867048342605
3.5,8.86951341421111,9.7989693136786,1.07076642554926,2.3,2.3,-0.0176997889397888
3.6,8.97978732342748,10.0008100056764,1.06899644665529,2.3,2.3,-0.0416342944957005
3.7,9.0904183134877,10.2024551991185,1.06483301720572,2.3,2.3,-0.084242320124752
3.8,9.20188787781381,10.4036380418982,1.05640878519324,2.3,2.3,-0.0842326888762157
3.9,9.31504827769329,10.6038747116146,1.04798551630562,2.3,2.3,-0.0996671361905047
4,9.42989129051402,10.8031511086271,1.03801880268657,2.3,2.3,-0.099407472714857
4.1,9.54671469729283,11.0012730196531,1.02807805541508,2.3,2.3,-0.0954637566754586
4.2,9.66550177937461,11.1982238488732,1.01853167974754,2.3,2.3,-0.0859274565930333
4.3,9.78616358681506,11.394031734887,1.00993893408823,2.3,2.3,-0.0424153932657804
4.4,9.90850344639157,11.5887955887172,1.00569739476166,2.3,2.3,-0.0645848399148246
4.5,10.031668301551,11.7830387828157,0.999238910770173,2.3,2.3,-0.069470154991336
4.6,10.1560850958303,11.9764824730753,0.992291895271039,2.3,2.3,-0.0636545587664056
4.7,10.2818427333859,12.1690571770123,0.985926439394399,2.3,2.3,-0.0361422387220369
4.8,10.4088236406641,12.3608274802055,0.982312215522195,2.3,2.3,-0.00645135097695878
4.9,10.5364968178908,12.552137594462,0.981667080424499,2.3,2.3,-0.0186683667919341
5,10.6642933894094,12.7433653024651,0.979800243745305,2.3,2.3,-0.0672005504211226
5.1,10.7924467289295,12.9343541020577,0.973080188703193,2.3,2.3,-0.0577429215622131
5.2,10.9218806203989,13.1244773982081,0.967305896546972,2.3,2.3,-0.0433896662833004
5.3,11.0524101754098,13.313850139828,0.962966929918642,2.3,2.3,-0.0691006030489728
5.4,11.1837601811347,13.5026547372193,0.956056869613745,2.3,2.3,-0.0491129266526877
5.5,11.3164116917319,13.6905471977819,0.951145576948476,2.3,2.3,-0.00590711110130577
5.6,11.4499843936561,13.8777859045193,0.950554865838345,2.3,2.3,0.0412967996644475
5.7,11.5836676762537,14.0649456757147,0.95468454580479,2.3,2.3,-0.0512574703890932
5.8,11.7165769111577,14.2526559185818,0.949558798765881,2.3,2.3,0.00903166197823649
5.9,11.850446551093,14.4396824394381,0.950461964963704,2.3,2.29999999999993,0.0450936432898412
6,11.9841472204201,14.626829790532,0.954971329292689,2.29999999999993,2.29999999999995,0.00338560192847309
6.1,12.1170026176611,14.8145781418535,0.955309889485536,2.29999999999995,2.29999999999943,0.0662526961319407
6.2,12.2497944431712,15.0023714619628,0.961935159098732,2.29999999999943,2.29999999999963,0.0219849118145658
6.3,12.3813391820214,15.1910404357789,0.964133650280188,2.29999999999963,2.299999999999,0.108221220940629
6.4,12.5124688162289,15.3799981533577,0.974955772374254,2.299999999999,2.29999999999867,0.0665083474368603
6.5,12.6415458880955,15.5703638790499,0.981606607117941,2.29999999999867,2.29999999999843,0.103464148388262
6.6,12.7693540235521,15.7615838584219,0.991953021956768,2.29999999999843,2.29999999999972,0.00590591166289166
6.7,12.8951769123138,15.954115935395,0.992543613123057,2.29999999999972,2.29999999999923,0.0152426359254002
6.8,13.020886071395,16.1467222886731,0.994067876715597,2.29999999999923,2.29999999999713,-0.0853723639240087
6.9,13.1463015017028,16.3395200320227,0.985530640323189,2.29999999999713,2.29999999999806,-0.0262977324507258
7,13.2733583015405,16.5312400612707,0.982900867078117,2.29999999999806,2.29999999999946,-0.0101122532037349
7.1,13.4009188416571,16.7226252973917,0.981889641757744,2.29999999999946,2.29999999999923,-0.0125993558881253
7.2,13.5286728501172,16.9138814432337,0.980629706168932,2.29999999999923,2.29999999999878,0.019335898360289
7.3,13.6566677275376,17.1049764754928,0.982563296004961,2.29999999999878,2.29999999999891,0.0124341021827784
7.4,13.7842928665045,17.2963186399616,0.983806706223239,2.29999999999891,2.29999999999739,0.0788092539386702
7.5,13.9116799900716,17.4878193468774,0.991687631617111,2.29999999999739,2.29999999999857,0.0127186655371835
7.6,14.037553970555,17.6803180248914,0.992959498170829,2.29999999999857,2.29999999999869,0.00646551886180237
7.7,14.1631830166646,17.872976642071,0.993606050057009,2.29999999999869,2.29999999999702,0.0315345824534177
